id,season,match_no,date,player_name,comment,R,B,M,fours,sixs,SR
22,2011/12,11th,Feb 15 2012,Jason Roy,c Styris b Hogg,30,22,-,5,0,136.36
30,2011/12,3rd,Feb 11 2012,Mohammad Ashraful, b Russell,9,4,3,2,0,225.00
25,2011/12,8th,Feb 13 2012,Darren Stevens,not out ,43,38,49,2,2,113.15
31,2011/12,2nd,Feb 10 2012,Mushfiqur Rahim,c Ziaur Rahman b Enamul Haque jnr,22,19,21,1,0,115.78
29,2011/12,4th,Feb 11 2012,Sean Ervine,c Nazmul Islam b Yasir Arafat,9,6,5,1,0,150.00
16,2011/12,17th,Feb 19 2012,Mehrab Hossain jnr,not out ,8,6,6,0,1,133.33
28,2011/12,5th,Feb 12 2012,Faisal Hossain,not out ,17,19,26,0,0,89.47
15,2011/12,18th,Feb 19 2012,Sohail Tanvir,c Yasir Arafat b Sohrawordi Shuvo,33,32,31,5,0,103.12
27,2011/12,6th,Feb 12 2012,Nabil Samad,run out (Mosharraf Hossain),2,6,6,0,0,33.33
14,2011/12,19th,Feb 20 2012,Junaid Siddique,not out ,89,51,-,7,5,174.50
20,2011/12,13th,Feb 16 2012,Nasir Jamshed,not out ,81,47,-,10,2,172.34
24,2011/12,9th,Feb 14 2012,Kamran Akmal,c Sabbir Rahman b Fawad Alam,56,41,55,3,4,136.58
21,2011/12,12th,Feb 15 2012,Shahzaib Hasan,run out (Russell),52,46,-,6,0,113.04
19,2011/12,14th,Feb 16 2012,Monir Hossain,run out (Mosharraf Hossain),0,2,-,0,0,0.00
17,2011/12,16th,Feb 18 2012,Jahurul Islam,run out (Muktar Ali),13,15,-,0,1,86.66
26,2011/12,7th,Feb 13 2012,Shivnarine Chanderpaul, b Sohrawordi Shuvo,27,26,37,1,2,103.84
18,2011/12,15th,Feb 18 2012,Imrul Kayes,c Smith b Abdur Razzak,9,10,-,1,0,90.00
23,2011/12,10th,Feb 14 2012,Mominul Haque,c Mohammad Ashraful b Mashrafe Mortaza,5,8,11,1,0,62.50
22,2011/12,11th,Feb 15 2012,Ziaur Rahman,not out ,48,32,-,2,4,150.00
30,2011/12,3rd,Feb 11 2012,Darren Stevens,run out (Nasir Hossain/Adams),38,32,40,5,0,118.75
25,2011/12,8th,Feb 13 2012,Kieron Pollard,not out ,50,34,43,3,3,147.05
31,2011/12,2nd,Feb 10 2012,Qaiser Abbas, b Mahmudullah,3,4,3,0,0,75.00
29,2011/12,4th,Feb 11 2012,Mohammad Sami,c Nazmul Islam b Ahmed Shehzad,9,5,9,0,1,180.00
16,2011/12,17th,Feb 19 2012,Elias Sunny,not out ,1,2,2,0,0,50.00
15,2011/12,18th,Feb 19 2012,Naeem Islam,not out ,22,18,33,2,0,122.22
27,2011/12,6th,Feb 12 2012,Imran Nazir,lbw b Hogg,26,20,33,5,0,130.00
14,2011/12,19th,Feb 20 2012,Marlon Samuels,not out ,54,30,-,4,3,180.00
20,2011/12,13th,Feb 16 2012,Jahurul Islam,c Mominul Haque b Hodge,41,21,-,5,1,195.23
24,2011/12,9th,Feb 14 2012,Imrul Kayes,st †Mushfiqur Rahim b Samuels,22,13,15,1,2,169.23
21,2011/12,12th,Feb 15 2012,Junaid Siddique,c †Saghir Hossain b Shakib Al Hasan,26,14,-,4,1,185.71
19,2011/12,14th,Feb 16 2012,Saqlain Sajib,not out ,0,0,-,0,0,-
17,2011/12,16th,Feb 18 2012,Jason Roy, b Saqlain Sajib,5,4,-,1,0,125.00
26,2011/12,7th,Feb 13 2012,Herschelle Gibbs, b Nazmul Islam,11,14,18,2,0,78.57
18,2011/12,15th,Feb 18 2012,Alok Kapali,run out (Jayasuriya),3,9,-,0,0,33.33
23,2011/12,10th,Feb 14 2012,Brad Hodge,c & b Stevens,0,3,8,0,0,0.00
22,2011/12,11th,Feb 15 2012,Mahmudullah,not out ,56,38,-,4,2,147.36
30,2011/12,3rd,Feb 11 2012,Kieron Pollard,not out ,39,32,42,5,0,121.87
31,2011/12,2nd,Feb 10 2012,Sabbir Rahman,not out ,41,28,37,1,3,146.42
29,2011/12,4th,Feb 11 2012,Syed Rasel, b Gayle,1,3,6,0,0,33.33
16,2011/12,17th,Feb 19 2012,Shivnarine Chanderpaul,not out ,87,49,75,11,1,177.55
15,2011/12,18th,Feb 19 2012,Brad Hogg,not out ,7,7,9,0,0,100.00
27,2011/12,6th,Feb 12 2012,Azhar Mahmood, b Nabil Samad,9,10,14,2,0,90.00
20,2011/12,13th,Feb 16 2012,Kevon Cooper, b Nazmul Islam,1,4,-,0,0,25.00
24,2011/12,9th,Feb 14 2012,Peter Trego,c Junaid Siddique b Saqlain Sajib,37,34,33,1,2,108.82
21,2011/12,12th,Feb 15 2012,Marlon Samuels, b Shakib Al Hasan,4,4,-,1,0,100.00
19,2011/12,14th,Feb 16 2012,Imran Nazir,not out ,54,45,-,4,1,120.00
17,2011/12,16th,Feb 18 2012,Ziaur Rahman,c Junaid Siddique b Saqlain Sajib,0,1,-,0,0,0.00
26,2011/12,7th,Feb 13 2012,Dwayne Smith,not out ,58,41,48,3,4,141.46
18,2011/12,15th,Feb 18 2012,Scott Styris,not out ,48,37,-,1,4,129.72
23,2011/12,10th,Feb 14 2012,Mohammad Mithun,c Mohammad Ashraful b Azhar Mahmood,38,32,59,1,1,118.75
30,2011/12,3rd,Feb 11 2012,Naved-ul-Hasan, b Russell,1,2,2,0,0,50.00
31,2011/12,2nd,Feb 10 2012,Asif Ahmed,c Roy b Bravo,5,10,10,0,0,50.00
29,2011/12,4th,Feb 11 2012,Saqlain Sajib,not out ,1,1,1,0,0,100.00
16,2011/12,17th,Feb 19 2012,Sanath Jayasuriya,lbw b Azhar Mahmood,10,6,7,2,0,166.66
15,2011/12,18th,Feb 19 2012,Ahmed Shehzad,st †Kamran Akmal b Hogg,60,40,48,3,5,150.00
27,2011/12,6th,Feb 12 2012,Anamul Haque,c Imrul Kayes b Sohail Tanvir,48,39,46,3,4,123.07
20,2011/12,13th,Feb 16 2012,Arafat Sunny,not out ,3,4,-,0,0,75.00
24,2011/12,9th,Feb 14 2012,Alok Kapali,c Fawad Alam b Mohammad Sami,14,9,18,1,1,155.55
21,2011/12,12th,Feb 15 2012,Fawad Alam, b Nasir Hossain,4,10,-,0,0,40.00
19,2011/12,14th,Feb 16 2012,Anamul Haque,st †Mushfiqur Rahim b Saqlain Sajib,20,22,-,3,0,90.90
17,2011/12,16th,Feb 18 2012,Mahmudullah,c Muktar Ali b Sabbir Rahman,18,23,-,2,0,78.26
26,2011/12,7th,Feb 13 2012,Sanath Jayasuriya,c Al-Amin Hossain b Sohrawordi Shuvo,23,18,20,0,2,127.77
18,2011/12,15th,Feb 18 2012,Peter Trego,run out (Chanderpaul),2,3,-,0,0,66.66
23,2011/12,10th,Feb 14 2012,Kabir Ali,not out ,15,9,10,2,0,166.66
30,2011/12,3rd,Feb 11 2012,Mashrafe Mortaza,c Gibbs b Russell,0,1,1,0,0,0.00
31,2011/12,2nd,Feb 10 2012,Mohammad Sami,c Ziaur Rahman b Muralitharan,2,3,5,0,0,66.66
16,2011/12,17th,Feb 19 2012,Dwayne Smith, b Mashrafe Mortaza,1,2,4,0,0,50.00
15,2011/12,18th,Feb 19 2012,Brad Hodge,not out ,54,34,53,2,5,158.82
27,2011/12,6th,Feb 12 2012,Mohammad Ashraful,not out ,23,28,41,0,1,82.14
24,2011/12,9th,Feb 14 2012,Sohail Tanvir,not out ,12,16,24,0,0,75.00
21,2011/12,12th,Feb 15 2012,Mushfiqur Rahim,not out ,47,34,-,4,1,138.23
19,2011/12,14th,Feb 16 2012,Mohammad Ashraful, b Monir Hossain,11,14,-,0,0,78.57
17,2011/12,16th,Feb 18 2012,Shamsur Rahman,c & b Mohammad Sami,24,22,-,3,0,109.09
26,2011/12,7th,Feb 13 2012,Shakib Al Hasan,not out ,5,5,7,0,0,100.00
18,2011/12,15th,Feb 18 2012,Shuvagata Hom,c †Saghir Hossain b Abdur Razzak,8,6,-,0,1,133.33
30,2011/12,3rd,Feb 11 2012,Anamul Haque,not out ,0,0,3,0,0,-
31,2011/12,2nd,Feb 10 2012,Syed Rasel,c Roy b Muralitharan,0,2,1,0,0,0.00
16,2011/12,17th,Feb 19 2012,Shakib Al Hasan,c Mehrab Hossain jnr b Mosharraf Hossain,39,34,47,2,2,114.70
15,2011/12,18th,Feb 19 2012,Phil Mustard,not out ,4,6,4,1,0,66.66
27,2011/12,6th,Feb 12 2012,Darren Stevens,not out ,9,13,13,1,0,69.23
24,2011/12,9th,Feb 14 2012,Naeem Islam,not out ,9,7,11,1,0,128.57
21,2011/12,12th,Feb 15 2012,Abdul Razzaq,not out ,10,8,-,1,0,125.00
19,2011/12,14th,Feb 16 2012,Alexei Kervezee, b Monir Hossain,10,14,-,0,0,71.42
17,2011/12,16th,Feb 18 2012,Dwayne Bravo,lbw b Mohammad Sami,1,3,-,0,0,33.33
18,2011/12,15th,Feb 18 2012,Sohail Tanvir,c Nasir Hossain b Russell,5,5,-,0,0,100.00
31,2011/12,2nd,Feb 10 2012,Saqlain Sajib,st †Jahurul Islam b Arafat Sunny,1,3,9,0,0,33.33
16,2011/12,17th,Feb 19 2012,Nazmul Hossain Milon,not out ,3,9,14,0,0,33.33
19,2011/12,14th,Feb 16 2012,Kieron Pollard,c Khalid Latif b Samuels,16,14,-,1,1,114.28
17,2011/12,16th,Feb 18 2012,Farhad Reza,not out ,15,12,-,2,0,125.00
18,2011/12,15th,Feb 18 2012,Naeem Islam,st †Saghir Hossain b Shakib Al Hasan,9,6,-,0,1,150.00
19,2011/12,14th,Feb 16 2012,Darren Stevens, b Mohammad Sami,11,9,-,2,0,122.22
17,2011/12,16th,Feb 18 2012,Kevon Cooper,run out (Shahzaib Hasan),0,3,-,0,0,0.00
18,2011/12,15th,Feb 18 2012,Brad Hogg,st †Saghir Hossain b Shakib Al Hasan,0,1,-,0,0,0.00
19,2011/12,14th,Feb 16 2012,Aftab Ahmed, b Mohammad Sami,0,1,-,0,0,0.00
17,2011/12,16th,Feb 18 2012,Sunzamul Islam,c Muktar Ali b Abdul Razzaq,3,9,-,0,0,33.33
18,2011/12,15th,Feb 18 2012,Talha Jubair,not out ,1,2,-,0,0,50.00
19,2011/12,14th,Feb 16 2012,Naved-ul-Hasan, b Mohammad Sami,0,1,-,0,0,0.00
17,2011/12,16th,Feb 18 2012,Arafat Sunny,not out ,1,3,-,0,0,33.33
19,2011/12,14th,Feb 16 2012,Elias Sunny,not out ,0,1,-,0,0,0.00
7,2011/12,26th,Feb 25 2012,Kamran Akmal,c Roy b Bravo,53,37,44,5,4,143.24
6,2011/12,27th,Feb 26 2012,Herschelle Gibbs,c Shahzaib Hasan b Abdul Razzaq,3,7,9,0,0,42.85
7,2011/12,26th,Feb 25 2012,Peter Trego,not out ,68,53,87,6,1,128.30
6,2011/12,27th,Feb 26 2012,Sanath Jayasuriya,lbw b Mohammad Sami,0,1,1,0,0,0.00
13,2011/12,20th,Feb 20 2012,Shivnarine Chanderpaul,c Ziaur Rahman b Arafat Sunny,9,13,-,1,0,69.23
12,2011/12,21st,Feb 22 2012,Kamran Akmal,c Pollard b Mashrafe Mortaza,9,6,-,2,0,150.00
